thread_id,subject
11045,WebSite Hacked by Brazilian Cyber Army @TeamBCA
11054,botanica.org.br Hacked By Brazilian Cyber Army
11055,Web Site Hacked By B.C.A
11057,User/Combo Forum Leecher
11058,Wordlists Aio collections in GBs
11059,Forum Leecher with Word List Functionality
11060,FJLeecher - Forum User Leecher + Wordlist Tool
11061,ELITE Proxies leecher
11062,Wordlist Maker Tool many Options
11065,C-Force v1.01b [new link for download added]
11097,WebSite Hacked by Brazilian Cyber Army @TeamBCA
11119,[VB.Net ] Themes Collection [ VB.Net ]
11120,Hacked portalgeo.com.br By Brazilian Cyber Army
11197,Shell link for you
11198,"Shop,yahoo etc email list my personal 20k more"
11203,Google Dorks To Find Unsecure Web Admin
11225,New Exploit to get a Fresh mail list BY 16DZ
11229,Error Based Sql injection Fully Explained
11230,FReshly exploited email list 500
11231,Blackshades NET 5 RAT Cracked | MediaFire |
11249,Webroot hack tools
11257,Hash Types [You will need it]
11286,[0day] Profile Albums MyBB plugin SQLi
11287,[0day] Cartweaver 3 LFI exploit
11288,Follower User MyBB plugin SQL Injection 0day
11292,Youlikehits Exploit # 2. More Instant Points ( linkedln )
11298,[SQLi list] 297 vulnerable sites
11313,portal.ufsj.edu.br Exposed DataBase By Brazilian Cyber Army
11331,Pawned..........
11336,Follower User MyBB plugin SQL Injection video tutorial
11337,All solutions to break the security Safe Mode To Server's
11338,Pangolin sql injector
11391,Email Combo Fresh Leeched 51788
11394,Email list 1k exploited
11403,Basic sql injection detailed tutorial for private wordlists
11459,Game Over Your Soul Is Mine
11489,AIOHNB config. Skype Username Leecher
11552,80k Wordlist
11578,exploit for this system ?
11598,Combo Editör
11714,1k email list just exploited
11784,Email List Fresh Extract 25.10.2012 Only Hotmail 187956 #01
11785,Email List Fresh Extract 25.10.2012 Only Gmail 65365
11796,Email List Fresh Extract 25.10.2012 Only Yahoo 186063 #01
11804,Crocko.com Valid User Checked 116854
11806,Realitykings - how we can watch for free ?
11893,Email List Fresh Extract - various e-mail providers no hotmail+yahoo [639450] #01
11908,4 Domain Of Usp.br Hacked DataBase By Brazilian Cyber Army
11909,"Sql Database, Tables, columns, dump. manual"
11934,email lists not combo
12331,http://nrc.org.pk/ Hacked By Brazilian Cyber Army
12333,http://pcp.org.pk/ Hacked By Brazilian Cyber Army
12407,New : SQL Injection Vulnerable Sites
12413,Game Over Your Soul Is Mine
12498,"TeamSpeak.com - Freshly Forum Name Leeched over 70,000"
12607,Ztod.com Valid User Checked 37289
12774,Lets Dance Its Party Time
12851,Email list exploited
12894,Another 10 Sites Owned.........
12901,ryushare javascript
12909,Ardamax Keylogger 4.0 crack+serial FULL
12990,MBM Corporation HACKED DataBase By Brazilian Cyber Army
13024,Bitshare/Freakshare Fast Cracker V2 by Buddah
13115,How To Hack WebSite Using Havij ( tutorial Video )
13317,Helping getting success key for this site
13342,6 Sites Owned............
13381,22 Sites Got Hacked ....... ( Third_Eye)
13491,XSS vulnerability
13620,Asp Injection
14185,livejasmin
